fromAccountNumber,toAccountNumber,transferAmount
10247433,92474642,24974.68
17458269,65639030,20928.58
32140064,86454643,2845.06
55105859,20227647,3032.03
33842103,94507973,22929.08
30472853,35400158,216.04
90839221,07003691,542.83
59506898,46103833,3033.03
59692577,09735323,12265.82
12086870,75297459,20374.43
63173215,18316889,18706.29
08073136,11904113,16502.71
82126865,18245684,3359.22
20730710,27796405,20979.26
72553961,44387334,14921.96
89905128,93825887,20102.96
97619871,13285609,4581.2
54943643,68211578,23791.26
50280247,86146418,1161.35
89909140,16716964,20089.23
03478097,38829307,18200.65
58753194,73952541,16904.33
24308724,04516859,2984.62
77244154,04333265,4909.34
96897317,71389097,15775.65
90563126,55393218,16085.22
32278798,59933885,18333.35
62547895,64011950,16855.21
33996714,10319383,24253.86
04411529,07633294,2033.01
00725477,50953325,19643.69
47014497,15977861,6369.86
09219557,13967741,14347.59
45027031,11818977,816.39
68128548,66105367,9063.63
41105115,31459228,12152.59
63684032,69908941,1914.22
87980455,13392383,9049.33
70224542,21643347,993.61
38632532,36356546,10435.04
16583061,56863109,9775.78
07135460,31783774,14264.63
97511403,81416271,17240.27
72497012,09914247,1183.4
77432155,54653405,7218.0
93669450,64213132,20193.69
06425081,32894486,5568.99
08773784,19537511,14430.58
60748294,29536832,3211.91
59356332,12716548,7820.45
58611937,39536990,24612.35
13299996,72821756,13298.91
98798667,09072862,21286.09
96194546,88903125,11765.17
92119864,02624112,2928.81
50570263,04625469,20311.96
04306658,17099158,1553.83
99164669,53001535,5754.84
45883316,84149473,15284.54
03981016,02591612,9890.13
30854390,54612617,21163.6
25037579,44896577,10359.8
68385538,28450177,23602.43
51917562,34702833,2820.75
23964457,09928336,24181.54
77643780,62132725,9014.24
23911390,00734394,18964.54
53686893,81650866,3864.49
24164832,49348217,6322.67
34649596,06614942,21943.23
08926135,37432782,3923.21
24210706,20835521,5556.13
58535868,98181124,18834.87
49191325,84303868,10237.93
61540262,90386190,6305.4
91456687,91296337,6748.53
71036052,66745921,8390.18
22258748,42511663,15100.24
26777207,17109994,11050.42
21725357,30057340,6308.39
72160053,16863965,6643.28
50771479,49120639,21366.08
97374145,82510060,9232.61
75137946,10336144,12273.6
98420001,96691168,20676.79
43997251,58755938,14821.67
66626619,28182627,15209.8
16650893,00918855,6619.69
21409462,82996093,9401.67
32395488,06326081,18778.97
38420009,77575968,2223.78
76201301,17834773,15279.96
71874920,57413969,19794.09
89543030,36992591,3850.01
59924982,56616590,13291.02
80669456,77482839,2611.3
90826603,09095380,12981.44
07192517,48745925,5053.27
01906677,68578251,23935.31
60610171,20056759,22066.58
11847090,91235640,8772.67
19117928,98671281,17109.98
81974580,53089069,8192.0
50770182,58756775,6945.68
24285186,84239037,2074.57
29323739,37330118,23563.5
72729915,84852229,5841.51
39167866,69057250,5523.21
72149249,26406893,23706.55
45572395,69775079,427.79
86592017,39394668,21786.88
85995789,55860109,19520.29
07633805,28686613,8860.88
29454358,22176721,22812.38
60710369,69493775,2096.42
13670641,96934371,7475.28
82608477,56066777,20943.97
30819672,90562631,5758.87
25554663,04766865,3951.77
68644628,35293101,15146.85
81493302,48453332,21598.76
55478717,03136072,13376.04
16262218,76607424,13310.58
58095768,00767729,15539.14
01366334,09162976,19441.49
66368762,54835764,23786.61
36022663,56971507,16771.53
53546364,72800041,9815.97
04432265,96668306,6261.15
49383195,25596793,2443.96
93468404,20933227,23607.15
68041144,82347802,3839.86
49345643,01514025,4445.1
06086800,96011928,9765.34
15647214,48388658,2335.89
30702523,15051387,2200.71
71803746,74724253,4636.66
42027799,91419460,10564.65
71434872,98347865,10461.3
42606390,23097803,17385.2
92974142,96322932,4132.87
15158666,20375089,21895.17
15138958,17394727,16078.07
07999260,08799814,4323.88
86674577,25757781,13861.51
84813251,94856569,4730.77
07054457,18676372,17182.82
78123472,19222509,3303.17
87533484,52509261,14495.83
19806808,66363941,24638.78
55407236,15386410,17409.29
36070114,87015898,14389.78
27370292,44062415,4677.73
31891424,13113124,13571.94
54729179,33424774,7503.11
29654994,28653141,16464.06
62998000,79140898,4768.28
09570153,23702097,24239.87
91136398,97243991,17837.66
21267246,31013451,17372.35
06646431,13147525,3455.03
85084131,50219018,12540.15
20760878,00034265,24556.04
83365997,54139275,19302.71
22671387,08874054,18599.95
19970684,18127829,7291.82
34181324,31152204,23188.82
58626023,22084262,15498.0
93536417,98281145,20036.52
10149492,25613018,24709.77
32187151,84987235,21783.99
80197478,35382584,11451.8
79809580,14511486,3581.52
33359953,88240046,12071.83
47832473,27301241,4865.19
70149999,54000735,21267.87
28369288,13330859,3431.91
20225124,83458811,3313.86
73601296,28127574,21826.92
71678320,47012691,13129.18
64391427,76822780,4706.31
92630819,33238227,1939.94
79003827,21171178,280.63
84543776,10350454,9308.3
40895987,34175705,3988.83
37441371,56117950,2280.23
79255677,38000430,1646.55
95757667,01314793,6545.1
90557187,20195977,22938.08
10943526,08705563,13918.95
11552604,24312486,10801.99
67586653,92129382,23164.57
42702900,76198137,6539.98
86526463,48274999,17308.35
59884484,79363082,19374.69
05350599,54304116,14526.5
57315478,19144481,22403.53
13029715,94073850,24946.84
26957807,01755534,18907.01
25318777,94907537,23176.41
84433510,90689147,7619.61
18997996,20807122,13747.03
67279210,16064744,20857.27
98654697,25103595,3502.53
83846670,78410084,1135.99
83224850,68590284,12859.98
23691537,69846908,23816.84
66972631,77145642,23583.72
04414896,21674297,627.44
88252292,74764099,7216.57
61120228,93629294,24953.35
58056745,20857134,12168.12
68182922,40006598,6071.95
88204017,44706586,21681.89
39477590,77799739,13360.33
18144055,43986019,2777.85
70388107,93191517,11950.65
34364482,18358414,13393.51
29399932,68540302,4707.53
92472525,54765252,24096.15
83390586,21734977,2847.11
85972834,72841600,16312.71
52273650,99707064,6668.22
22009043,80961505,5737.96
67684076,18101508,325.0
81317318,35347255,10831.31
94131192,25578140,15010.95
49148893,33351582,4736.52
17080361,82052409,12989.64
75583750,49570731,1791.41
51344511,70919653,253.9
02102764,79873185,24840.31
02450827,49972191,14168.69
93571159,45261831,1993.8
33242392,21853395,12653.14
95273693,91095015,16163.67
02304182,10963197,9916.21
93989930,98726875,6624.74
01921151,77649980,3164.16
76650116,68469948,24370.27
86053365,51796853,4202.04
86401098,36556106,1748.79
62560856,95996592,18561.22
05844173,88009407,763.46
53120113,10995273,1588.44
33141428,89920251,5454.33
11882138,67824373,14581.51
45311154,19892351,21372.9
22389237,47387805,3835.12
46143860,13661915,15331.21
45189005,07588228,14380.57
25281682,48103893,23965.37
92882317,79543316,6408.17
65147092,19866635,17501.97
00173308,72039540,14935.19
80376453,83038662,12796.37
09763814,11298571,16395.55
41722091,32976748,3884.13
24627177,12461172,5437.46
17764759,99574536,9193.04
65178003,18903089,5832.84
02199610,86076944,2759.24
16778603,59425540,13778.31
53933454,79969598,6167.04
27959688,02094700,23945.66
39845030,62860352,6421.34
48382458,49152494,15794.35
17782746,15248169,3082.56
65700389,86581516,3913.81
80517818,12563258,23784.05
27749517,64080581,22107.48
36905416,53419446,18304.58
16031869,63433562,15011.2
61707917,49249934,10452.87
25273779,64835891,9418.99
65710357,91084507,24358.36
33828282,28774921,15385.83
03922958,68492335,19354.37
46092274,33294124,1687.0
40364971,47491687,22868.49
14047329,52373077,3545.81
10088555,07927799,4171.58
78708150,43820191,22923.65
85715042,01245455,6583.28
37999452,71570174,96.17
84850256,30300187,16423.89
11828686,40866192,19826.74
80617501,39894717,24777.07
70261165,13006266,9218.98
50348343,54451117,14030.58
73438854,70836943,9449.37
17191463,55425940,6730.82
41637067,76360411,18843.39
05664269,72060711,20607.7
21974342,38718274,2727.6
02035352,44674847,19652.8
41822258,83387807,10056.03
18425208,21430275,11392.52
83532900,55236355,24171.4
32266801,17159388,7654.55
69199448,57853741,2548.65
09047044,01929416,14111.33
59105930,98439140,6926.57
64349626,50336869,2663.03
33709796,59459545,12243.53
28263043,14505393,24094.66
48486835,95379357,12063.66
12917174,54772410,3936.63
85847866,48102537,7802.43
15441225,88992884,20760.59
38175879,01327915,11861.59
30858664,48000611,16247.52
72151181,65789728,21345.45
56951349,89824429,2357.42
47079489,61242371,23007.75
26701080,34071694,11290.8
22134578,42429746,7974.77
52247705,60996046,10094.59
97634553,82623524,5546.52
01687415,36455454,22558.37
59149194,98538478,21436.35
07758300,54306240,20918.22
68224271,26817965,19151.79
08112422,17801539,1964.58
77409744,01490404,20133.92
51457129,14708176,23931.37
09843783,83490071,22691.58
73433811,04276746,24159.34
51633509,55971393,20622.22
37956844,40464442,20980.78
47019324,75350208,3367.23
52327841,99678579,19775.98
18135152,24904124,16537.24
41801055,08124357,5055.86
17403580,66235958,9261.94
81289950,15146496,21653.84
81511990,64606033,5691.72
67367948,55298322,6047.71
42667230,85683631,2206.75
47083042,44684549,16054.8
90689147,48565516,8018.34
72992456,28422273,19461.05
35088325,45549649,22748.11
68021160,01858778,868.48
52279843,52330179,3787.42
69981067,29300587,9575.45
83599323,27944516,13845.56
97553519,24956741,18777.54
95027951,27587300,24589.48
57965154,89966419,21511.83
09248267,69744884,11981.21
94901115,57063492,24950.93
88703534,54744387,22044.99
52484667,45041297,9340.78
71886329,11073475,1115.63
25783988,41930908,2287.87
01637236,39655752,7570.83
78158351,23587656,12172.72
50945320,86424875,2654.44
17459167,35336631,21788.23
81342440,89677728,22375.52
41846742,56831986,9341.32
71815459,11219361,13700.37
48015080,72969120,13960.1
57466903,42715733,12168.64
25124729,23121737,10950.36
75955274,70556018,5655.17
82395179,10530511,12672.49
69610462,55755221,2376.88
97482222,20900328,12184.02
87108965,30485426,971.31
18592252,50825646,18572.91
85143326,16513693,5629.48
03084045,35966746,18908.51
12529124,19474250,10778.58
24826204,88299136,6002.29
40303376,06240066,21017.47
07442087,48455091,23983.55
86761833,14738890,4672.39
39252166,27724828,21348.64
02096261,87946314,22389.08
24652896,73253211,16346.87
60732453,25844252,13326.43
66319542,68855116,4924.53
14449246,89480632,23707.88
33794679,76349935,20899.5
30841369,66463955,4047.23
28261766,93191517,3037.5
13657802,18751482,17571.94
79575249,80479710,10052.37
38203657,18097245,24615.89
10704905,21612442,5212.84
97168942,99372033,10691.56
01543506,56589665,17911.15
27689677,71699943,9531.9
95546063,14327919,13402.45
95708515,86270373,5574.37
39225436,51247676,12223.68
00639774,70636888,15612.45
35270690,30793583,539.88
64354453,79988667,19648.49
29255856,82891077,11817.93
11093848,52735189,11913.14
02192727,60653116,14306.11
48011464,34322468,13724.33
67359516,64313610,2284.92
99995805,55728652,11791.24
76251184,77899712,18473.81
83390449,86415644,24769.45
69541704,94138023,1999.13
61002081,50673650,9761.24
91794345,41923481,6746.23
88850627,36709144,18372.38
53488206,88896748,18782.87
48165563,20271145,5688.41
35512431,94101379,18126.07
75471309,06055325,1628.99
03658994,70854749,17820.32
08369475,09991040,22158.51
52698392,91425829,8460.7
26599342,88889917,3384.97
14716096,16055360,18568.58
99039868,06153441,4875.3
42497462,97456216,12453.34
70279504,25207743,18545.4
37159979,79480383,4936.95
65485996,63359336,23382.71
33780696,34400074,18773.31
56207552,85185005,14885.8
98363063,04326663,9577.08
39479419,18305326,16051.21
39720603,53629319,14164.06
76751820,48879279,4319.87
73344759,68034092,18705.43
71869537,71028026,11889.72
65997192,47364974,6716.65
38431982,98370917,17132.38
67520367,39914811,19249.18
26260105,87920536,15006.48
43595105,93914901,20626.59
38563256,95784441,13438.99
89906071,35730644,22055.06
14372711,10821411,21648.53
20154004,66029465,15349.65
79389723,50403219,6143.76
56152609,74420681,12118.17
76546433,05646494,19564.7
34137888,41469569,4261.5
51894924,40448619,5019.83
58150573,90622434,13582.6
67015757,21000799,16281.94
41453605,15597755,18820.71
36344598,99214753,17847.16
55140898,01064834,24722.45
27431252,35242291,23280.73
57900346,49771053,6137.11
95044163,74038831,16688.6
56385519,11829676,21046.73
22745637,27937570,19582.58
11028482,20680848,5193.69
78997448,67783076,11547.23
18150407,91913968,6218.84
35022558,74312498,8359.24
95787114,02451763,2071.28
46096524,49947687,24663.82
02811963,65410332,16302.09
73213376,59626299,1678.38
86839952,13776282,8117.82
57993935,85782488,17408.76
66973225,07978968,24410.13
67192397,84661876,1926.84
76954474,19303352,9533.66
58042069,48675987,4079.23
75796754,83170089,18495.04
70691917,68266806,2457.34
79081207,08927545,9259.54
96230077,05590094,15730.19
49616088,56418019,7175.34
24298049,20360986,20986.13
20391096,97931003,23086.03
61604902,76772658,11819.62
64682136,49422399,1030.21
43371105,49445077,9900.71
84052568,97791997,18520.3
91320278,49945676,22359.55
78289727,64835556,3465.31
36067879,61110946,9228.51
33789316,01108491,24332.95
47662001,54166547,2119.54
47012691,06744298,13713.2
23847491,29184330,14979.91
43892549,92011540,16587.53
13882211,50677955,11183.26
63337259,37069674,10571.49
45092435,93725187,14664.13
53277367,84833327,853.76
70679588,24366120,3049.52
75193171,36100514,24994.14
08136954,07633263,19128.58
79844444,21424243,17646.28
94943795,79024426,16092.5
78762534,15759245,23408.94
43473205,27355428,1421.16
50349524,40642932,18060.76
68205584,33800615,20307.28
84144188,47072718,5164.22
15169822,93079860,21454.14
27170212,90538322,8501.63
05684342,58693414,18891.76
26840185,77766304,24558.1
01390179,87544039,23976.08
46022639,28784661,13962.17
62820806,07028458,1308.44
09580183,90181290,22761.46
95786896,86214254,16631.18
28823322,24887861,12101.01
24999441,56630091,18188.22
57222257,62452908,2177.91
43352623,11742005,10100.32
94546569,79555449,21613.75
55532075,02409696,3306.27
00522991,62103626,13246.53
56159691,59422860,20367.52
05392056,96070390,18505.24
62135955,21001611,23182.92
16331105,24001151,5448.82
79978842,45135309,20341.28
76094446,68226992,8476.0
67145973,23671065,2680.72
87917666,70516234,22400.45
35952473,16666900,7077.87
35965404,16923485,24268.19
84828293,57106632,18338.32
81139644,33079967,15329.52
16090613,39773852,6241.92
37290467,55502870,10173.03
05593200,86493420,6839.29
58057711,93711418,24126.34
19607627,23672086,6856.86
26295978,25134315,20991.5
61136984,84469076,18603.89
51162368,96392102,2731.25
27800980,00399043,14464.91
92106819,58815342,20587.83
18101850,91807366,23639.93
17749220,05736379,16816.44
53590237,14699122,2156.77
96365595,75010126,20212.62
80247197,68477783,16682.21
08543066,85368316,3694.25
82480066,21441691,20269.75
20852702,67351985,8668.9
72238288,06405199,1386.21
54833746,32762716,6167.87
93615198,57174778,14542.63
51880132,71740423,1369.63
41367438,41332184,11897.47
65112014,74592876,18783.21
14521454,36994465,8059.41
56725100,59455004,17484.72
38936579,09263802,11064.53
25158663,25029697,24088.95
30913684,46486455,18618.52
43606009,06322731,19448.76
98036486,45309526,17027.34
91348104,27538890,13075.65
10885314,58548318,4081.09
38360329,01507003,15918.27
10491454,84830371,21675.69
04918738,40093932,14010.96
29826605,42712480,5750.49
87501377,24037327,3792.13
34090671,77893062,24609.33
14659379,13898250,4187.18
90800917,41319871,5512.8
85946620,65485996,12836.56
66705376,66149736,10930.99
48959766,70423822,23626.93
60544551,40141114,13626.85
33357980,91696144,217.28
97834267,53941800,7273.23
51105495,72104033,7365.29
48641098,01403251,1756.02
59550570,51421489,1253.03
40169477,94779486,13297.93
24500296,88739380,10017.85
87589313,70987782,5240.69
41263655,40609287,20178.71
61161757,55640091,20476.79
77088703,80734604,14885.41
03303573,70418231,22308.67
07749100,44334017,6878.02
27484210,47951488,7156.57
05939985,28229575,24451.3
71724249,02631950,12313.64
19971377,98364510,17028.38
14229084,37369231,14673.86
99455835,96325896,13836.14
26621616,80344896,23198.83
30721166,81473236,8308.12
92094475,43793303,11551.06
97794226,23564367,4970.71
46167422,42572947,17843.74
34023662,42324942,9139.51
50554294,02401379,15017.02
76482403,28361114,19713.24
42243175,53941756,12446.88
58382837,02607719,21572.42
47436497,31459709,10156.66
51228620,00031929,18995.86
51078591,78723955,16476.23
11225683,51853853,3266.95
88175126,37812157,6280.38
39209436,69141317,9902.68
43867592,85377905,17477.22
00141635,33131269,17480.3
61944282,57051345,1224.98
53331410,92873803,1650.64
62951968,67542505,7402.16
58439869,75428969,50.24
08737779,06653507,825.61
99529680,02503387,2165.5
95673356,48032384,21373.36
87912739,35342267,17585.76
67504114,94946512,19851.82
44187132,53816184,19149.67
37420420,71295213,15519.0
29749010,13816018,19778.2
42547853,74479856,19277.25
44535247,07585760,7342.5
96482919,37197629,10327.42
33258935,39157058,18764.43
76895937,15599230,23844.29
16375703,97861447,24734.47
78891500,88052939,3979.31
97839613,36794638,21125.36
36438686,72619315,21261.86
72768884,55937283,7186.73
44741129,75140069,2560.01
89546079,05972807,337.13
12479580,86704106,19091.98
34105078,61213517,4325.98
89892503,19392806,4369.83
17871198,44269807,1389.94
85728318,35062233,5564.07
46843647,50988600,23432.74
99633226,18028966,9021.04
67680825,74963287,15252.14
52377051,72872727,18152.67
29998197,72756768,5188.94
41051184,27965665,201.92
00864305,01695090,5867.91
89281888,58229408,8216.44
42937715,48142724,4534.75
19108117,58326022,20377.45
08422729,77398277,15042.62
47994461,11297062,24013.52
54450394,96336731,16209.39
83972492,70012811,20410.57
81695614,07929717,21787.19
43664726,94262605,6698.09
86024648,69016905,8421.44
05076130,74921577,24469.62
31371216,17162357,1449.83
66042471,39001863,19345.4
68710576,86956406,18372.91
87369076,37839772,22579.14
90374340,65505434,22547.51
42222767,05677054,15092.8
12852086,93805735,2819.23
45883125,02574462,20910.71
79125475,99398712,10851.6
95359915,38719707,16933.48
88176246,93762908,4787.36
30812291,17096027,626.48
98122363,43967919,22449.88
27108567,38603747,1741.52
98608638,62092197,1966.9
28144991,95554846,10824.82
20293062,28276487,19583.65
86687935,04626466,21995.1
96325889,62172820,1755.75
02751689,29544820,13854.61
77134332,18525892,7844.77
05029266,38040054,13478.31
20055684,00682381,1634.37
18953220,44888954,16060.79
59222323,95561288,15721.35
28902973,81127863,6321.35
07076442,73582410,22408.94
36871353,33394497,17879.19
40752181,63751970,10735.81
90026478,40337425,9394.55
30963764,53633231,5342.59
17811040,98360017,7141.52
69284694,19569208,12910.36
61498877,22529190,16115.52
47092174,95159799,18321.23
66056348,37534271,23859.93
52080029,20880392,3340.74
35368335,76764882,15635.84
64051666,79708678,9029.23
44534530,71918815,17754.07
72628621,22421890,24414.43
21090561,48482806,1218.08
15895998,66883395,14118.43
03250013,20471002,7751.15
70145250,93158534,14311.38
03830451,80866114,9372.31
83702372,45765841,13931.58
88248837,22432322,23247.2
58669679,78016255,10792.63
66116882,04646037,1634.88
01191745,28081289,18618.29
47448810,51690380,1762.95
67976133,91602848,18267.71
08912466,47670419,2806.47
70583328,26240282,5562.82
68634278,61486522,1249.64
26709932,70549331,7826.04
34295540,14999468,6135.11
50050406,75948320,5553.46
14095108,11673156,13308.78
84159830,74124268,4207.97
25526486,23859739,13807.92
66405818,27880562,22287.91
66889793,03318430,17015.78
89609248,19662473,5534.27
62715379,36422623,10669.94
92596931,63595208,5537.01
41189290,86795128,10609.0
20697280,65637814,17909.18
84547804,07000270,15611.6
86883887,59858539,3879.87
46587084,19216140,3084.61
44503932,28154440,11705.5
28244271,88388304,7397.69
99886608,83332623,23299.66
80612551,53804426,18050.37
67778003,21109096,14203.3
12607556,23035140,4916.95
36388189,48976756,24114.04
63264722,04450856,23434.29
23132474,73872863,20972.56
04491880,11102793,22390.6
08004529,28191308,4832.1
75973506,12944286,4159.25
85471986,42991281,7329.86
70441390,46626257,20843.1
68982249,33797076,18748.3
76230387,33391540,14180.96
03153819,47109261,20760.07
26749662,21090974,19833.86
24396004,40585949,20340.03
28850311,43621576,18527.42
77125682,09008731,23356.98
03045077,28282358,7912.71
75673970,26626659,23325.44
60354495,55921985,3657.85
15321565,02441030,4733.49
26713403,29702480,598.98
78876477,89918753,4901.77
30186279,69168628,3218.27
65656327,55636322,13968.29
43147571,19987163,15464.55
98577613,83652158,7394.19
09440845,37026417,2434.19
12647286,13917128,17447.57
10198469,91669506,15175.41
75113575,98307715,24602.02
68094430,33653884,20149.82
23788589,61868854,16810.61
71937441,05653041,249.26
08267597,86960748,23918.63
92796508,97911500,4023.87
78736481,81973903,7149.97
60972552,00127097,9652.7
47990876,26312460,21582.97
98031092,70139020,15225.73
33972473,17633642,3568.06
50875641,13428822,9983.42
31742016,87027365,18565.4
42065111,17403986,23457.43
88814414,12036585,8251.38
00122788,45015106,13928.39
61638761,68165642,15218.34
64629285,87358865,2496.57
70649802,27586020,5275.02
31333436,18571295,15949.91
74983889,65038451,15832.1
27129753,06683658,19698.95
30277908,57276960,14084.87
84438737,58932704,21298.69
36092307,48105293,17989.54
20798376,47776579,11612.6
34515280,79349789,8083.34
24446266,46880079,7815.61
40645940,51334932,20998.6
95518206,86917360,11818.34
89306970,41436158,755.8
15114679,04557432,10985.81
67065462,30977020,12311.17
10021804,33864761,14964.75
04411529,03752999,18002.54
43901968,44531980,19722.55
31457958,38871702,20756.4
14869211,36258017,11109.45
09093188,08160645,3299.2
54958043,44529215,7462.19
64295435,91483997,8022.6
98236916,78229686,13897.07
31081917,51453688,7667.9
39594587,87684377,22236.93
02088792,44616502,1839.91
29437238,85959736,10402.84
81892914,63970869,879.95
35405795,02836614,20515.98
18553352,36671526,14381.59
09926349,22203977,9737.38
84739810,50969289,22283.66
53216441,76355424,14739.85
70709988,49827118,13993.59
12850563,91739711,10588.88
28222460,51843823,23844.8
97869443,87509335,14648.6
31802321,21169946,3567.2
16290150,99541255,6792.37
40550961,26639130,12798.37
38833632,48508971,4243.49
97359272,18300697,21981.15
50634309,35355090,18586.36
38995385,41271759,20122.0
30432406,98767182,13307.29
00793278,37938338,20226.98
24574662,35503927,13403.06
11510758,51942212,3368.68
91964632,82837433,745.47
00678476,84485588,15801.24
09888524,82596897,11815.91
80665045,68970628,17439.64
90808562,67453726,2625.25
78692527,79216623,6952.18
21366383,77978578,21256.01
73217572,54907492,17811.87
62353212,85896697,13380.28
54370555,58696460,2019.49
76055072,01421187,8110.51
35837688,97623465,13919.41
48615938,42736820,4614.6
95613970,27080849,15551.74
76155130,38722684,6215.16
88500423,76190957,5914.67
81203789,77769503,2515.18
39196019,27169353,12647.56
28804802,17731379,4017.23
19945620,56096323,7033.55
20276706,00271875,5824.38
43616299,35090434,4743.1
09975378,21296406,15027.54
13500344,34830550,23800.37
71032580,18795547,10001.24
22809643,35868378,6317.94
25135053,91442680,19441.8
96849804,27456941,20496.85
49472806,60046956,16679.12
93793568,09490338,899.19
11829003,96403365,21785.52
71083087,89911402,8581.16
79030960,96564530,15002.79
44865573,99367374,18162.44
22558848,16382664,24185.23
43853083,59024002,21637.76
00921183,09883055,17246.94
93222877,74787845,19186.27
45773280,20762490,16717.46
19752631,50717491,21381.14
63757477,66715382,22814.55
17156356,68404604,396.31
11873754,91197276,17571.66
59220077,70378221,13241.01
40328072,73905820,821.53
76670152,32176315,24668.08
83191602,48551304,1627.49
41362662,94207927,18543.37
06328399,55961981,3368.13
13496104,49388060,14111.02
88877532,01320398,2048.2
96046364,00716963,4090.84
49014891,49857740,21908.35
11664451,70797312,10534.4
90308734,64213903,21753.7
52607585,88632728,23770.45
87207729,69701993,12288.32
04583219,41411605,7301.75
70669893,93522908,7794.89
36512034,42182689,15314.26
61452015,05958504,18026.52
33902845,64560717,19062.77
52937781,10403778,16369.17
49901900,34907771,13322.97
00921909,96959527,13649.14
11078982,90032387,18648.92
43749614,33219615,21733.5
95797625,90596377,12057.21
97380405,20488741,1101.27
17518123,14413995,4962.52
58617748,87387230,12741.35
45928314,11357193,1424.79
18610772,57251158,23586.07
81584949,35747703,12572.73
25469431,03090145,11313.39
01613964,47687806,23731.78
17835336,90204647,16258.55
08094773,00021050,13468.07
29298563,32137125,21293.27
93319461,33529110,9584.58
63814170,82392789,1437.72
26461915,73486848,2992.36
85465039,95068770,9734.57
55358774,16558250,4902.39
56229899,64839882,11760.96
80487128,47385900,21767.62
64425917,88463896,1654.77
82809188,77737731,5911.58
36747399,25251791,3538.67
36709847,60104663,392.69
39510037,45191183,24422.95
07584374,41790915,17704.83
90587269,80884644,18973.78
00110105,19567846,7473.52
09068537,26099347,8501.74
88529325,74795758,9023.42
52362088,67912919,10086.87
94796209,02135328,16390.48
79963176,70369670,12093.29
16872196,10788783,1731.15
85280984,42178521,2611.46
00935951,61516335,8890.73
09540606,22453426,21666.41
30724075,03018675,1659.1
10933893,27930335,14083.96
59402183,25078787,18286.39
07214622,14956676,22694.98
72278048,15076052,2633.93
47217805,20880842,17597.39
38313059,34289020,1295.48
97215332,21863066,16103.62
77394545,71020730,5128.6
48831222,03238738,16118.49
90482601,10450413,5071.92
25177534,51428495,20321.55
14067136,57265063,24565.79
23311411,54306479,8262.85
42920168,61640924,6452.35
89100264,61598355,15342.16
98435807,70597585,17968.94
81071128,83054105,13812.74
28386711,75420413,10114.83
41334423,36669936,16560.46
76718823,12183883,24387.46
28400585,97229070,3986.68
07517709,19636689,2648.08
21885549,66273868,16411.72
24597890,12131853,5234.78
62456555,21439186,22835.68
41794234,54025806,22734.07
82517144,59774815,23791.01
46856050,65690956,7082.29
70945720,15136626,24940.83
24586061,45357336,10639.74
49421484,65554968,24569.05
67743933,63650174,6138.26
45599613,80436492,4355.56
12170975,52983771,112.72
73692683,25899177,10410.9
24174169,03497364,7184.99
68350789,20092368,8804.68
97723318,98969494,12419.86
63993110,36932887,12311.54
29172221,14307362,18503.15
84628435,09333727,18773.55
71486512,77882653,13617.01
92219434,44163761,22428.67
36796267,06270124,23002.06
38856754,00120036,11151.03
45317804,14344916,1951.21
47268937,64474267,20025.22
95730073,23391345,7954.79
05778683,37629816,24650.73
96757642,99404512,10771.03
96354933,11618003,11798.6
72187760,96865224,15097.84
